"BillType","BillNumber","CurrentStatus","LDOA","IntroDate","ActualBillNumber","BillParty1","BillParty2","BillParty3","GovernorAction","GovernorDateOfAction","PamphletLaw","ChapterLaw","EffectOnStatutes","EffectiveDate","Codification","FirstPrime","SecondPrime","ThirdPrime","Synopsis","EfDateNote","IdenticalBillNumber","LastSessionFullBillNumber","OldBillNumber","ProposedDate","Abstract","ModDate","FNCertified"
"A  ",2626,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2626","R",,,,,,,,,,"Webber, Jay ",,,"Revises timeframes for issuance of certain construction permits by DEP in 90 days.",,,"A1025","A489",12/26/2023 0:00:00,"Construction permits-revise timeframe for issuance",12/26/2023 0:00:00,"N"
"A  ",2627,"AHO",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2627","R",,,,,,,,,,"Webber, Jay ",,,"Permits landlords to take actions after death of tenant in certain situations.",,,"A1026","A490",12/26/2023 0:00:00,"Tenant, deceased-permits landlord to remove property in certain situations",12/26/2023 0:00:00,"N"
"A  ",2628,"AHU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2628","R","D",,,,,,,,,"Webber, Jay ","DeAngelo, Wayne P.",,"Creates crime of victimization of a senior citizen or a person with a disability.",,"S3886","A1027","A491",12/26/2023 0:00:00,"Victimization of a senior citizen or a person with a disability-creates crime",11/14/2024 0:00:00,"Y"
"A  ",2629,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2629","R","D","R",,,,,,,,"Webber, Jay ","Calabrese, Clinton ","Flynn, Victoria A.","Prohibits awarding of economic development subsidy to business if payment of principal and interest on previously awarded loan or loan guarantee is greater than 24 months overdue.",,,"A1028 S2327","A492 S1475",12/26/2023 0:00:00,"Economic development subsidy-business loan overdue, prohibits awarding",12/9/2024 0:00:00,"N"
"A  ",2630,"AHE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2630","R","R","D",,,,,,,,"Webber, Jay ","DiMaio, John ","Sumter, Shavonda E.","Creates special license plates supporting Autism Awareness.",,,"A1029","A493 S2662",1/5/2024 0:00:00,"Autism Awareness-creates special license plates",3/4/2025 0:00:00,"Y"
"A  ",2631,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2631","R",,,,,,,,,,"Webber, Jay ",,,"Requires explanatory statement on ballot question for school district capital projects to include certain information.",,,"A1030","A494",12/26/2023 0:00:00,"School district capital projects-explanatory statement on ballot question",12/26/2023 0:00:00,"N"
"A  ",2632,"AMV",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2632","R",,,,,,,,,,"Webber, Jay ",,,"Creates exemption from certain MVC fees for prisoners of war.",,,"A1031","A495",12/26/2023 0:00:00,"POWs-exempt from certain MVC fees",1/29/2024 0:00:00,"Y"
"A  ",2633,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2633","R",,,,,,,,,,"Webber, Jay ",,,"Allows gross income tax deduction for charitable contributions to certain New Jersey-based charitable organizations.",,,"A1032 S2013","A496 A4546",12/26/2023 0:00:00,"Charitable org., NJ-based-allow income tax deduction for charitable contribution",2/5/2024 0:00:00,"Y"
"A  ",2634,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2634","R","D",,,,,,,,,"Webber, Jay ","DeAngelo, Wayne P.",,"Requires MVC to accept emergency medical technician and paramedic certification cards as two points of documentation for purposes of MVC identification verification program.",,"S388","A1033 S985","A498 S1425",12/26/2023 0:00:00,"EMT and paramedic certification cards-MVC accept as ID verification program",1/17/2024 0:00:00,"N"
"A  ",2635,"ACO",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2635","R","R","D",,,,,,,,"Webber, Jay ","Dunn, Aura K.","McCoy, Tennille R.","Requires telemarketers making sales calls to display their name and telephone number on any caller identification service.",,"S1237","A1034 S1484","A499 S1735",12/26/2023 0:00:00,"Telemarketers making sales calls-required to display their name and phone number",2/22/2024 0:00:00,"N"
"A  ",2636,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2636","R",,,,,,,,,,"Webber, Jay ",,,"Concerns baked goods sold at farm markets.",,,"A1035","A503 S283",1/5/2024 0:00:00,"Baked goods sold at farm markets-concerns wrapped and covered containers",1/5/2024 0:00:00,"N"
"A  ",2637,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2637","R",,,,,,,,,,"Webber, Jay ",,,"Concerns workers' compensation insurance requirements for certain corporations and partnerships.",,"S794","A1036 S678","A508 (1R) S967",12/26/2023 0:00:00,"Workers' compensation insurance requirement-concerns corporations & partnerships",1/17/2024 0:00:00,"N"
"A  ",2638,"AOF",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2638","R",,,,,,,,,,"Webber, Jay ",,,"Requires chief law enforcement officer or Superintendent of State Police to notify federal immigration authorities when non-citizen applies for firearms purchaser identification card or handgun purchase permit.",,"S2563","A1037","A1879 S813",12/26/2023 0:00:00,"Firearms purch. ID card, non-resid.-law enforcement notify fed. immigration auth",2/10/2025 0:00:00,"Y"
"A  ",2639,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2639","R",,,,,,,,,,"Webber, Jay ",,,"Prohibits public institutions of higher education from increasing resident undergraduate and graduate tuition and fees by more than 4% over the prior academic year.",,,"A1038","A1963",12/26/2023 0:00:00,"Higher ed. public instit.-prohibits increasing tuition and fees more than 4%",12/26/2023 0:00:00,"N"
"A  ",2640,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2640","R",,,,,,,,,,"Webber, Jay ",,,"Upgrades penalties for certain crimes committed during a state of emergency.",,,"A1039","A2911",1/5/2024 0:00:00,"Crimes, during state of emergency-upgrade to first degree",1/5/2024 0:00:00,"N"
"A  ",2641,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2641","R","R",,,,,,,,,"Webber, Jay ","Barranco, Christian E.",,"Requires school districts to allow home-schooled students to participate in school-sponsored extracurricular activities in the student's resident district.",,,"A1041 S2206","A2921 S2649",12/26/2023 0:00:00,"Home-school students-allow participation in school-sponsored activities",2/22/2024 0:00:00,"N"
"A  ",2642,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2642","R",,,,,,,,,,"Webber, Jay ",,,"Establishes State Debt Capacity Advisory Commission.",,,"A1042","A2930 S812",12/26/2023 0:00:00,"State Debt Capacity Advisory Commission-establish",1/30/2024 0:00:00,"Y"
"A  ",2643,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2643","R","R",,,,,,,,,"Webber, Jay ","Dunn, Aura K.",,"Prohibits mail-in ballot outer envelope from containing political affiliation or designation visible to public.",,"S1876","A1043 S2272","A3994 S3392",12/26/2023 0:00:00,"Mail-in ballot-prohibit outer envelope from containing political affiliation",9/12/2024 0:00:00,"N"
"A  ",2644,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2644","R","R",,,,,,,,,"Webber, Jay ","Scharfenberger, Gerry ",,"""Murphy's Law""; nullifies Governor's order, rule, or regulation to address declared emergency, or relevant portion thereof, when Governor violates same; creates affirmative defense to prosecution for same violation committed by Governor.",,,"A1044","A4255 S2613",1/5/2024 0:00:00,"Murphy's Law-nullify Gov. emerg. order, rule, regulation when Gov. violates same",1/5/2024 0:00:00,"N"
"A  ",2645,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2645","R","R","R",,,,,,,,"Webber, Jay ","Peterson, Erik ","Bergen, Brian ","Dedicates State reserve of certain federal funds to in-person and hybrid school districts.",,,"A1045","A5482",12/26/2023 0:00:00,"School districts, in-person & hybrid-dedicate St. reserve of cert. federal funds",1/29/2024 0:00:00,"Y"
"A  ",2646,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2646","R","R","R",,,,,,,,"Webber, Jay ","Peterson, Erik ","Bergen, Brian ","Redistributes fiscal year 2023 transportation and security aid from remote school districts to in-person school districts.",,,"A1046","A5483",12/26/2023 0:00:00,"School district, in-person-redistribute FY 2023 transportation & security aid to",1/29/2024 0:00:00,"Y"
"A  ",2647,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2647","R","R",,,,,,,,,"Webber, Jay ","Dunn, Aura K.",,"Requires DEP to provide public access for boats to certain State-owned lakes; appropriates $1 million.",,"S390","A1047 S987","A6032 S4135",12/26/2023 0:00:00,"Boating-req DEP to provide public access to certain State-owned lakes;$1M",1/29/2024 0:00:00,"N"
"A  ",2648,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2648","R","D",,,,,,,,,"Webber, Jay ","Moen, William F.",,"Requires rail passenger service to provide purchasers with proof of payment at time of purchase.",,,"A1108","A1223 (1R) S3507",12/26/2023 0:00:00,"Rail passenger service-provide purchasers w/proof of payment at time of purchase",12/26/2023 0:00:00,"N"
"A  ",2649,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2649","R",,,,,,,,,,"Webber, Jay ",,,"Requires annual review of all released sex offenders to determine if they were registered and tiered.",,"S614","A1328 S2131","A1310 S2127",12/26/2023 0:00:00,"Sex offenders-required annual review to determine if they registered and tiered",1/31/2024 0:00:00,"Y"
"A  ",2650,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2650","R","D",,,,,,,,,"Webber, Jay ","Murphy, Carol A.",,"Revises procedures concerning access to decedent's safe-deposit box.",,"S130","A1329 S2096","A1311 S1169",12/26/2023 0:00:00,"Decedent's safe-deposit box-revises procedures concerning access",1/17/2024 0:00:00,"N"
"A  ",2651,"AHE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2651","R",,,,,,,,,,"Webber, Jay ",,,"Provides civil immunity to licensed health care professionals who provide care at health care facilities for no compensation.",,,"A2072","A3437 w/c",12/26/2023 0:00:00,"Health care prof.-prov. care at health facility, no compensation-civil immunity",1/30/2024 0:00:00,"Y"
"A  ",2652,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2652","R",,,,,,,,,,"Webber, Jay ",,,"""Medical Philanthropy Act""; provides physicians who provide uncompensated care with $250,000 cap on noneconomic damages in actions alleging medical malpractice.",,,"A2075","A506",12/26/2023 0:00:00,"Med. Philanthropy Act-physician uncomp. care $250K cap, alleging med malpractice",1/30/2024 0:00:00,"Y"
"A  ",2653,"AHE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2653","R",,,,,,,,,,"Webber, Jay ",,,"Prohibits using cadaveric fetal tissue obtained from elective abortion procedure for research purposes and using any cadaveric fetal tissue to research cosmetic treatments.",,,"A2076 S810","S924 A2978",12/26/2023 0:00:00,"Cadaveric fetal tissue, from elective abortion-prohibits cosmetic research",4/12/2024 0:00:00,"N"
"A  ",2654,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2654","R",,,,,,,,,,"Webber, Jay ",,,"""Addiction Medicine Philanthropy Act""; provides physicians who provide uncompensated care for treatment of substance use disorders with $250,000 cap on noneconomic damages in actions alleging medical malpractice.",,,"A2077","A2979",12/26/2023 0:00:00,"Addiction Med. Philanthropy Act-med. malpractice liab, substance abuse treatment",12/26/2023 0:00:00,"N"
"A  ",2655,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2655","R","R","R",,,,,,,,"Webber, Jay ","Flynn, Victoria A.","Scharfenberger, Gerry ","Requires transportation network company to provide live customer service representative and certain notification to riders.",,"S935","A2078 S2136","A2977",12/26/2023 0:00:00,"Transportation network company-provide live customer service representative",1/17/2024 0:00:00,"N"
"A  ",2656,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2656","R",,,,,,,,,,"Webber, Jay ",,,"Requires municipalities to file copies of tax abatement and exemption agreements with county chief financial officer and county counsel within 10 days of execution.",,,"A2079 S1565","A2981 S983 w/c",12/26/2023 0:00:00,"Tax abatement agreements-municipalities file copies w/in 10 days of execution",12/26/2023 0:00:00,"N"
"A  ",2657,"W",4/4/2024 0:00:00,1/9/2024 0:00:00,"A2657","R","R",,,,,,,,,"Webber, Jay ","Dunn, Aura K.",,"Concerns actions to foreclose right to redeem tax sale certificate under ""tax sale law.""",,,"A2080 S3716","A4752 w/c",12/26/2023 0:00:00,"Tax sale law-concerns actions to foreclose right to redeem tax sale certificate",4/4/2024 0:00:00,"Y"
"A  ",2658,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2658","R",,,,,,,,,,"Webber, Jay ",,,"Caps noneconomic damages in medical malpractice actions at $250,000.",,,"A2083","A3426",12/26/2023 0:00:00,"Medical malpractice actions-caps noneconomic damages at $250K",12/26/2023 0:00:00,"N"
"A  ",2659,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2659","R",,,,,,,,,,"Webber, Jay ",,,"Revises individual cause of action under consumer fraud act.",,,"A2084","A3427",12/26/2023 0:00:00,"Consumer fraud act-revises individual cause of action",12/26/2023 0:00:00,"N"
"A  ",2660,"ALA",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2660","R","R",,,,,,,,,"Webber, Jay ","Scharfenberger, Gerry ",,"Concerns repayment of unemployment insurance benefits obtained fraudulently.",,,"A2089","A3414",12/26/2023 0:00:00,"Unemployment insurance benefits obtained fraudulently-concerns repayment",1/30/2024 0:00:00,"Y"
"A  ",2661,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2661","R",,,,,,,,,,"Webber, Jay ",,,"Prohibits the use of county and municipal vehicles by part-time elected local government officers.",,,"A2090","A2929",12/26/2023 0:00:00,"Vehicles, county & municipal-prohibits use by part-time elected loc govt officer",12/26/2023 0:00:00,"N"
"A  ",2662,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2662","R",,,,,,,,,,"Webber, Jay ",,,"Prohibits wrongful life/birth suits.",,,"A2095","A2936",12/26/2023 0:00:00,"Wrongful life/birth suits-prohibits",12/26/2023 0:00:00,"N"
"A  ",2663,"ACO",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2663","R",,,,,,,,,,"Webber, Jay ",,,"Allows NJ gross income tax deduction for charitable contributions of food made from business inventory.",,"S1303","A2344 S779","A2161 (1R) S3151",12/26/2023 0:00:00,"Charitable food contributions, made from business inventory-income tax deduction",1/30/2024 0:00:00,"Y"
"A  ",2664,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2664","R",,,,,,,,,,"Webber, Jay ",,,"Consolidates all categories of gross income for cross-claiming of net losses and allows 20 year loss carryforward under the New Jersey gross income tax; repeals alternate business income calculation.",,,"A2897","A504",12/26/2023 0:00:00,"Income tax-consolidates for cross-claiming of net losses, allows 20 yr loss",1/30/2024 0:00:00,"Y"
"A  ",2665,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2665","R",,,,,,,,,,"Webber, Jay ",,,"Re-establishes 6.37 percent as top marginal gross income tax rate.",,,"A2898","A2934 w/c",12/26/2023 0:00:00,"Income tax rate-re-establishes 6.37 percent",1/30/2024 0:00:00,"Y"
"A  ",2666,"ACE",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2666","R","R","R",,,,,,,,"Webber, Jay ","Fantasia, Dawn ","Inganamort, Michael ","Eliminates $375 minimum Corporation Business Tax on New Jersey S corporations with New Jersey gross receipts of less than $100,000.",,,"A2899","A2933",12/26/2023 0:00:00,"S corporations-eliminate $375 minimum CBT with gross receipts of less than $100K",2/10/2025 0:00:00,"Y"
"A  ",2667,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2667","R",,,,,,,,,,"Webber, Jay ",,,"Allows residents of certain Highlands municipalities to designate on gross income tax returns that a portion of gross income tax paid be returned to municipality of residence.",,,"A2900","A2931",12/26/2023 0:00:00,"Highlands municipalities-allows residents designate on income tax returns",1/30/2024 0:00:00,"Y"
"A  ",2668,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2668","R",,,,,,,,,,"Webber, Jay ",,,"Appropriates money from Trenton Capital City Aid to Lake Hopatcong Commission for mitigation and prevention of harmful algal blooms.",,,"A2902","A2894 w/c",1/5/2024 0:00:00,"Algal blooms-appropriate from Trenton Capital City Aid for mitigation/prevention",1/29/2024 0:00:00,"Y"
"A  ",2669,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2669","R",,,,,,,,,,"Webber, Jay ",,,"Dedicates $500,000 annually in revenues from vessel registration and renewal fees to NJ Greenwood Lake Fund.",,,"A2903","A2940",1/5/2024 0:00:00,"Vessel registration and renewal fees, dedicate $500K annually, Greenwood Lake Fd",1/5/2024 0:00:00,"N"
"A  ",2670,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2670","R",,,,,,,,,,"Webber, Jay ",,,"Exempts construction, expansion, or renovation of building or structure owned and used by municipality or volunteer fire department from ""Highlands Water Protection and Planning Act.""",,,"A2905","A2973",12/26/2023 0:00:00,"Building owned & used by municipality or vol fire department-exempt construction",12/26/2023 0:00:00,"N"
"A  ",2671,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2671","R",,,,,,,,,,"Webber, Jay ",,,"Provides for priority consideration, by State, of permit applications by counties and municipalities with 10 or more shared services.",,,"A2906","A2974",12/26/2023 0:00:00,"Counties, mun. shared services-priority consideration of permit applications",1/29/2024 0:00:00,"Y"
"A  ",2672,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2672","R",,,,,,,,,,"Webber, Jay ",,,"Exempts expansion or reconstruction, within 125% of existing footprint, of municipal and county buildings and certain emergency services buildings from ""Highlands Water Protection and Planning Act.""",,"S391","A2907 S988","S937",12/26/2023 0:00:00,"Highlands Water Protection & Planning Act-concerns expansion or reconstruction",1/17/2024 0:00:00,"N"
"A  ",2673,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2673","R",,,,,,,,,,"Webber, Jay ",,,"Provides that will is not valid unless signed by testator or substantially written in testator's handwriting.",,,"A2908","A2937",12/26/2023 0:00:00,"Wills-not valid unless signed by testator or writtin in testator's handwriting",12/26/2023 0:00:00,"N"
"A  ",2674,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2674","R",,,,,,,,,,"Webber, Jay ",,,"Concerns time frames for establishing or enforcing property rights related to adverse possession.",,,"A2909","A2939",12/26/2023 0:00:00,"Property rights-time frames for establishing or enforcing adverse possession",1/29/2024 0:00:00,"Y"
"A  ",2675,"APS",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2675","R",,,,,,,,,,"Webber, Jay ",,,"Increases penalties for certain criminal offenses committed against elderly and persons with a disability.",,,"A2910","A505",12/26/2023 0:00:00,"Elderly or person w/disab-incr penal for cert criminal offense committed against",1/29/2024 0:00:00,"Y"
"A  ",2676,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2676","R",,,,,,,,,,"Webber, Jay ",,,"Eliminates certain motor vehicle registration renewal.",,,"A2912","A2912",12/26/2023 0:00:00,"Motor vehicle registration renewal, certain-eliminates",1/31/2024 0:00:00,"Y"
"A  ",2677,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2677","R",,,,,,,,,,"Webber, Jay ",,,"Requires MVC to refund certain motor vehicle registration fees.",,,"A2913","A507",12/26/2023 0:00:00,"Motor vehicle registration fees, certain-MVC required to refund",1/31/2024 0:00:00,"Y"
"A  ",2678,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2678","R",,,,,,,,,,"Webber, Jay ",,,"Requires law enforcement agencies to obtain court order prior to use of imaging surveillance device.",,,"A2914","A3416",12/26/2023 0:00:00,"Imaging surveillance device-law enforcement officer req. to obtain court order",12/26/2023 0:00:00,"N"
"A  ",2679,"APS",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2679","R",,,,,,,,,,"Webber, Jay ",,,"Permits members of Community Emergency Response Teams to perform traffic duties under certain circumstances.",,"S850","A2916 S2113","S3861 A2913",1/5/2024 0:00:00,"Community Emergency Response Team members-perform traffic duties",1/17/2024 0:00:00,"N"
"A  ",2680,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2680","R",,,,,,,,,,"Webber, Jay ",,,"Requires public bodies under Open Public Meetings Act to display U.S. flag and recite Pledge of Allegiance at beginning of meeting.",,,"A2921","A2916",12/26/2023 0:00:00,"US flag and recite Pledge of Allegiance-required at the beginning of meetings",12/26/2023 0:00:00,"N"
"A  ",2681,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2681","R",,,,,,,,,,"Webber, Jay ",,,"Designates Morris Plains rail station as ""Frank J. Druetzler Station - Morris Plains, New Jersey.""",,,"A2959","A511",12/26/2023 0:00:00,"Frank J. Druetzler Station-Morris Plains, NJ-designate rail station",12/26/2023 0:00:00,"N"
"A  ",2682,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2682","R",,,,,,,,,,"Webber, Jay ",,,"Expands authority of State Auditor on performance audits of school districts; requires State Auditor to issue report on school district audits from previous five years; requires appropriation of $1.5 million to Office of State Auditor annually for such audits.",,,"A2960","A2965",12/26/2023 0:00:00,"School district performance audits-expands authority of State Auditor",12/26/2023 0:00:00,"N"
"A  ",2683,"ATR",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2683","R",,,,,,,,,,"Webber, Jay ",,,"Eliminates automatic increases of petroleum products taxes.",,,"A2961","A2935",12/26/2023 0:00:00,"Petroleum product taxes-eliminate automatic increase",1/30/2024 0:00:00,"Y"
"A  ",2684,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2684","R",,,,,,,,,,"Webber, Jay ",,,"Makes membership in New Jersey Council of County Colleges optional.",,,"A2962","A2932",12/26/2023 0:00:00,"NJ Council of County Colleges-makes membership optional",12/26/2023 0:00:00,"N"
"A  ",2685,"APS",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2685","R",,,,,,,,,,"Webber, Jay ",,,"Allows gross income tax deduction for firearms training expenses paid by law enforcement officers.",,,"A2963","A510",12/26/2023 0:00:00,"Firearm training expenses-allows income tax deduction by law enforcement officer",1/30/2024 0:00:00,"Y"
"A  ",2686,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2686","R",,,,,,,,,,"Webber, Jay ",,,"""School Children First Act""; establishes factors for determining compensation; requires principal consent for teacher placement; eliminates certain seniority rights.",,,"A3343","A2918 w/c",12/26/2023 0:00:00,"School Children First Act-establishes factor for determining compensation",1/29/2024 0:00:00,"Y"
"A  ",2687,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2687","R",,,,,,,,,,"Webber, Jay ",,,"Provides for the designation of new charter school authorizers and additional modifications of the charter school program.",,,"A3345","A2920",12/26/2023 0:00:00,"New charter school authorizers and additional modifications-designation",1/29/2024 0:00:00,"Y"
"A  ",2688,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2688","R",,,,,,,,,,"Webber, Jay ",,,"Requires students to pass test identical to United States Citizenship and Immigration Services civics test as part of high school graduation requirements.",,,"A3346","A497",12/26/2023 0:00:00,"High school graduation-student req to pass civics portion of naturalization test",12/9/2024 0:00:00,"N"
"A  ",2689,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2689","R",,,,,,,,,,"Webber, Jay ",,,"Places restrictions on unsolicited school budget communications sent by a board of education to school district residents 90 days prior to annual school election.",,,"A3347","A2922",12/26/2023 0:00:00,"School budget communications-places restrictions on unsolicited",12/26/2023 0:00:00,"N"
"A  ",2690,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2690","R",,,,,,,,,,"Webber, Jay ",,,"Requires public institution of higher education to annually submit capital projects report to Secretary of Higher Education; requires secretary to post reports on website.",,,"A3348","A2987 w/c",12/26/2023 0:00:00,"Higher education institution-annually submit capital proj report/post on website",12/26/2023 0:00:00,"N"
"A  ",2691,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2691","R","R",,,,,,,,,"Webber, Jay ","Dunn, Aura K.",,"Requires public schools to allow certain students not enrolled in the school to participate in interscholastic athletics.",,,"A3349","A2986",12/26/2023 0:00:00,"Interscholastic sports athletics-student not enrolled in school, may participate",3/4/2024 0:00:00,"Y"
"A  ",2692,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2692","R",,,,,,,,,,"Webber, Jay ",,,"Directs board of trustees of county college to post information on the compensation paid to college president on its website.",,,"A3350","A2985",12/26/2023 0:00:00,"College president compensation-post information on its website",12/26/2023 0:00:00,"N"
"A  ",2693,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2693","R",,,,,,,,,,"Webber, Jay ",,,"""Education Investment Act""; establishes an equity financing for education program at certain public institutions of higher education.",,,"A3351","A2984 w/c",12/26/2023 0:00:00,"Education Investment Act-estab. equity financing for ed prog at higher ed instit",1/30/2024 0:00:00,"Y"
"A  ",2694,"AED",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2694","R",,,,,,,,,,"Webber, Jay ",,,"Allows resident school districts to provide payments in-lieu-of transportation to parents of county vocational school district pupils.",,,"A3353","A3993",12/26/2023 0:00:00,"Transp, county vocational school district pupils-allow payment in-lieu-of transp",12/26/2023 0:00:00,"N"
"A  ",2695,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2695","R",,,,,,,,,,"Webber, Jay ",,,"Provides that no more than four of the seven public members appointed to the Highlands Water Protection and Planning Council may be of the same political party.",,"S1848","A3611","A2948",12/26/2023 0:00:00,"Highlands Water Prot. Council-4 of the 7 memb. cannot be of the same pol. Party",1/29/2024 0:00:00,"N"
"A  ",2696,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2696","R",,,,,,,,,,"Webber, Jay ",,,"Requires State agency to identify at least two existing rules for repeal for every one new rule adopted.",,,"A3896 S2281",,12/26/2023 0:00:00,"Rules for repeal-req St agency identify 2 existing for every 1 new rule adopted",12/26/2023 0:00:00,"N"
"A  ",2697,"AJU",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2697","R",,,,,,,,,,"Webber, Jay ",,,"Eliminates presumption of non-imprisonment for theft of a firearm.",,,"A4737 S347","S4256",12/26/2023 0:00:00,"Firearm, theft-eliminates presumption of non-imprisonment",1/29/2024 0:00:00,"Y"
"A  ",2698,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2698","R",,,,,,,,,,"Webber, Jay ",,,"Requires taxation as real property of improvements on publicly owned real property used for purpose and protection of public water supply.",,,"A5730",,12/26/2023 0:00:00,"Real property, publicly owned-req taxation of improvements, protect water supply",1/30/2024 0:00:00,"Y"
"A  ",2699,"AEN",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2699","R",,,,,,,,,,"Webber, Jay ",,,"Requires distribution of State aid to certain municipalities located in whole or in part in the Highlands preservation area.",,,"A5735",,12/26/2023 0:00:00,"State aid-req distribution to cert municipalities in Highland preservation area",1/29/2024 0:00:00,"Y"
"A  ",2700,"AHI",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2700","R",,,,,,,,,,"Webber, Jay ",,,"Requires institutions of higher education to review employment history of prospective employees who will have regular contact with students to ascertain allegations of child abuse or sexual misconduct.",,"S2635","A5838 S4235",,12/26/2023 0:00:00,"Instit of higher ed, employees-review employ history, have contact w/ students",1/31/2024 0:00:00,"Y"
"A  ",2701,"AOF",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2701","R",,,,,,,,,,"Webber, Jay ",,,"Prohibits location and operation of cannabis retailers near schools or places of worship.",,,"A5839",,12/26/2023 0:00:00,"Cannabis retailers-proh. location & operation near schools or places of worship",2/22/2024 0:00:00,"N"
"A  ",2702,"ASL",1/9/2024 0:00:00,1/9/2024 0:00:00,"A2702","R",,,,,,,,,,"Webber, Jay ",,,"Prohibits dual elective office holding and holding of elective office and public office or position.",,,"A1022","A486",12/26/2023 0:00:00,"Elective office, public office or position-prohibits dual holding",12/26/2023 0:00:00,"N"
